card_id,run_time,feature_cutoff_time,decision_time,history_first_tx_time,history_last_tx_time,history_tx_count_total,history_spend_total,history_quantity_total,history_fraud_tx_count_total,tx_count_1h,spend_1h,quantity_1h,tx_count_24h,spend_24h,quantity_24h,avg_amount_24h,max_amount_24h,tx_count_7d,spend_7d,quantity_7d,avg_amount_7d,tx_count_30d,spend_30d,quantity_30d,avg_amount_30d,max_amount_30d,std_amount_30d,avg_quantity_30d,cross_border_count_24h,cross_border_count_30d,country_change_count_30d,quick_repeat_count_30d,impossible_travel_150_count_30d,impossible_travel_300_count_30d,night_tx_count_30d,weekend_tx_count_30d,magstripe_tx_count_30d,mobile_tx_count_30d,chip_tx_count_30d,max_distance_km_30d,avg_distance_km_30d,avg_gap_minutes_30d,hours_since_first_transaction,minutes_since_last_tx,hours_since_last_cross_border_tx,hours_since_last_fraud_tx,last_tx_amount,last_tx_quantity,last_tx_site_country,last_tx_site_id,last_tx_product_id,last_tx_product_description,last_tx_processing_method,last_tx_cross_border,last_tx_hour_of_day,last_tx_is_weekend,last_tx_is_night,last_tx_gap_minutes,last_tx_distance_km,last_tx_implied_speed_kmh,last_tx_country_change_flag,last_tx_quick_repeat_flag,last_tx_impossible_travel_150_flag,last_tx_impossible_travel_300_flag,cross_border_ratio_24h,cross_border_ratio_30d,night_tx_ratio_30d,weekend_tx_ratio_30d,magstripe_ratio_30d,mobile_ratio_30d,chip_ratio_30d,spend_per_tx_24h,spend_per_tx_30d,tx_count_24h_vs_avg_daily_30d,spend_24h_vs_avg_daily_30d,last_amount_vs_avg_30d,last_quantity_vs_avg_30d,prior_fraud_flag_30d,prior_fraud_flag_ever,target_next_1h,fraud_tx_count_next_1h,first_fraud_time_next_1h,fraud_amount_next_1h,minutes_to_first_fraud_next_1h,has_prior_cross_border,has_last_tx_geo,has_gap_history,has_distance_history_30d,has_prior_fraud
C10000000,2025-06-29 22:30:00,2025-06-29 21:30:00,2025-06-29 22:33:00,2025-06-29 19:07:44.571,2025-06-29 19:07:44.571,1,69.17,40.9,0,0,0.0,0.0,1,69.17,40.9,69.17,69.17,1,69.17,40.9,69.17,1,69.17,40.9,69.17,69.17,0.0,40.9,0,0,0,0,0,0,0,1,0,0,1,-1.0,-1.0,-1.0,3.3709525,202.25715,-1.0,-1.0,69.17,40.9,FR,S1143,1,diesel,chip,0,19,1,0,-1.0,-1.0,-1.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69.17,69.17,30.0,30.0,1.0,1.0,0,0,0,0,,0.0,,0,0,0,0,0
C10000000,2025-07-04 21:30:00,2025-07-04 20:30:00,2025-07-04 21:33:00,2025-06-29 19:07:44.571,2025-07-04 20:01:22.992,2,159.85000000000002,95.65,0,0,0.0,0.0,1,90.68,54.75,90.68,90.68,2,159.85000000000002,95.65,79.92500000000001,2,159.85000000000002,95.65,79.92500000000001,90.68,15.20986686332264,47.825,0,0,0,0,0,0,0,1,0,0,2,21.72303441662871,21.72303441662871,7253.633333333333,122.3709525,88.6168,-1.0,-1.0,90.68,54.75,FR,S1105,1,diesel,chip,0,20,0,0,7253.633333333333,21.72303441662871,0.1796867866215629,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,90.68,79.92500000000001,15.0,17.01845480137629,1.134563653425086,1.1447987454260324,0,0,0,0,,0.0,,0,1,1,1,0
C10000000,2025-07-07 20:30:00,2025-07-07 19:30:00,2025-07-07 20:33:00,2025-06-29 19:07:44.571,2025-07-07 19:14:06.524,3,226.42000000000002,135.43,0,0,0.0,0.0,1,66.57,39.78,66.57,66.57,2,157.25,94.53,78.625,3,226.42000000000002,135.43,75.47333333333334,90.68,13.23336817795581,45.14333333333334,0,0,0,0,0,0,0,1,0,0,3,21.72303441662871,21.72303441662871,5763.183333333333,193.3709525,75.89126666666667,-1.0,-1.0,66.57,39.78,FR,S1143,1,diesel,chip,0,19,0,0,4272.733333333334,21.72303441662871,0.305046433586086,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,66.57,75.47333333333334,10.0,8.820333892765655,0.8820333892765655,0.8811932363582662,0,0,0,0,,0.0,,0,1,1,1,0
C10000000,2025-07-10 15:30:00,2025-07-10 14:30:00,2025-07-10 15:33:00,2025-06-29 19:07:44.571,2025-07-10 14:01:11.446,4,362.09000000000003,214.77,0,0,0.0,0.0,1,135.67,79.34,135.67,135.67,3,292.91999999999996,173.87,97.63999999999999,4,362.09000000000003,214.77,90.52250000000001,135.67,31.979019554493323,53.6925,1,1,1,0,0,0,0,1,0,0,4,212.22149121765932,85.22252001697224,5177.816666666667,260.3709525,88.80923333333334,1.480153888888889,-1.0,135.67,79.34,LU,S1061,1,diesel,chip,1,14,0,0,4007.0833333333335,212.22149121765932,3.177695199682119,1,0,0,0,1.0,0.25,0.0,0.25,0.0,0.0,1.0,135.67,90.52250000000001,7.5,11.240575547515808,1.4987434063354412,1.4776737905666526,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-07-14 09:30:00,2025-07-14 08:30:00,2025-07-14 09:33:00,2025-06-29 19:07:44.571,2025-07-14 07:39:46.361,5,433.96000000000004,257.62,0,0,0.0,0.0,1,71.87,42.85,71.87,71.87,3,274.11,161.97,91.37,5,433.96000000000004,257.62,86.792,135.67,28.923630823255916,51.524,0,1,2,0,0,0,0,1,0,0,5,212.22149121765932,116.97226281714401,5228.008333333333,350.3709525,110.22731666666667,91.48015388888889,-1.0,71.87,42.85,FR,S1143,1,diesel,chip,0,7,0,0,5378.583333333333,212.22149121765932,2.3674058174661035,1,0,0,0,0.0,0.2,0.0,0.2,0.0,0.0,1.0,71.87,86.792,6.0,4.968430270070974,0.8280717116784958,0.8316512693113889,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-07-18 16:30:00,2025-07-18 15:30:00,2025-07-18 16:33:00,2025-06-29 19:07:44.571,2025-07-18 14:35:46.448,6,548.36,325.42,0,0,0.0,0.0,1,114.4,67.8,114.4,114.4,2,186.27,110.65,93.135,6,548.36,325.42,91.39333333333333,135.67,28.218694985180772,54.23666666666667,0,1,2,0,0,0,0,1,0,0,6,212.22149121765932,93.57781025371521,5417.606666666667,453.3709525,114.22586666666666,194.48015388888888,-1.0,114.4,67.8,FR,S1143,1,diesel,chip,0,14,0,0,6176.0,0.0,0.0,0,0,0,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,1.0,114.4,91.39333333333333,5.0,6.258662192720111,1.2517324385440223,1.250076823796939,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-07-26 23:30:00,2025-07-26 22:30:00,2025-07-26 23:33:00,2025-06-29 19:07:44.571,2025-07-26 22:21:35.578,7,698.06,417.56,0,0,0.0,0.0,1,149.7,92.14,149.7,149.7,1,149.7,92.14,149.7,7,698.06,417.56,99.72285714285714,149.7,33.9005268957508,59.651428571428575,1,2,3,0,0,0,1,2,0,0,7,235.34434157049714,117.20556547317886,6512.308333333333,652.3709525,68.40703333333333,1.140117222222222,-1.0,149.7,92.14,LU,S1128,1,diesel,chip,1,22,1,1,11985.816666666668,235.34434157049714,1.1781141733546034,1,0,0,0,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,1.0,149.7,99.72285714285714,4.285714285714286,6.4335443944646595,1.5011603587084204,1.5446402912156336,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-07-30 19:30:00,2025-07-30 18:30:00,2025-07-30 19:33:00,2025-06-29 19:07:44.571,2025-07-30 17:48:13.887,8,755.95,453.15,0,0,0.0,0.0,1,57.89,35.59,57.89,57.89,2,207.58999999999997,127.73,103.79499999999999,7,686.7799999999999,412.25,98.11142857142855,149.7,35.809235972754024,58.892857142857146,1,3,3,0,0,0,1,1,0,0,7,235.34434157049714,107.36124872999984,6365.783333333333,744.3709525,101.76855,1.6961425,-1.0,57.89,35.59,LU,S1091,1,diesel,chip,1,17,0,0,5486.633333333333,48.29534827092572,0.5281418896084806,0,0,0,0,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,57.89,98.11142857142855,4.285714285714286,2.5287573895570636,0.5900433908966483,0.6043177683444512,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-08-02 18:30:00,2025-08-02 17:30:00,2025-08-02 18:33:00,2025-06-29 19:07:44.571,2025-08-02 17:02:44.584,9,838.8000000000001,504.13,0,0,0.0,0.0,1,82.85,50.98,82.85,82.85,3,290.43999999999994,178.71,96.81333333333332,8,769.63,463.23,96.20375,149.7,33.589125764789664,57.90375,0,3,4,0,0,0,1,2,0,0,8,235.34434157049714,122.99025304848153,6104.375,815.3709525,87.25693333333334,72.69614250000001,-1.0,82.85,50.98,FR,S1143,1,diesel,chip,0,17,1,0,4274.516666666666,232.3932832778533,3.2620289225693035,1,0,0,0,0.0,0.375,0.125,0.25,0.0,0.0,1.0,82.85,96.20375,3.75,3.22947390304432,0.8611930408118186,0.8804265699544502,0,0,0,0,,0.0,,1,1,1,1,0
C10000000,2025-08-05 10:30:00,2025-08-05 09:30:00,2025-08-05 10:33:00,2025-06-29 19:07:44.571,2025-08-05 08:53:52.543,10,916.1600000000001,552.35,0,0,0.0,0.0,1,77.36,48.22,77.36,77.36,3,218.10000000000002,134.79,72.7,8,756.31,456.70000000000005,94.53875,149.7,34.22614474241251,57.087500000000006,0,3,4,0,0,0,1,2,0,0,8,235.34434157049714,125.9728577464151,5676.5625,879.3709525,96.12428333333334,136.6961425,-1.0,77.36,48.22,FR,S1034,1,diesel,chip,0,8,0,0,3831.133333333333,45.58387200009737,0.7138964066348972,0,0,0,0,0.0,0.375,0.125,0.25,0.0,0.0,1.0,77.36,94.53875,3.75,3.0685829884571145,0.8182887969218972,0.8446682723888767,0,0,0,0,,0.0,,1,1,1,1,0
